Link,Date,Detail
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/payals-wedding-preparations/1000007604,6 Jun 2011,Payal's wedding preparations are under way. She is worried about the dowry her fiance's parents are  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/drama-at-payals-wedding/1000007605,7 Jun 2011,"Arnav accuses Khushi of deliberately disrupting the show. Khushi pleads innocence. Meanwhile, Payal' ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/the-family-visits-a-holy-shrine/1000007606,8 Jun 2011,Khushi tries to deal with her guilt by preparing sweets. Their friends comfort them. Khushi and her  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/embarassing-coverage-of-khushi/1000007607,9 Jun 2011,Garima and Khushi have an emotional connect. Madhumati is shocked to see the footage on TV where Khu ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-reaches-arnavs-office/1000007608,10 Jun 2011,Khushi is deeply disturbed and embarrassed. Garima leads her away from such attention. Khushi is bul ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-crashes-into-arnav-again/1000007609,13 Jun 2011,"Khushi, Payal and Buaji reach Delhi and are thrilled by the pace of the city. In a hurry to get Buaj ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-asks-khushi-to-pay/1000007610,14 Jun 2011,"Arnav is not happy to do a puja, despite Anjali asking him to do it. Khushi cannot believe that Arna ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-in-arnavs-house/1000007611,15 Jun 2011,"Anjali is delighted with the designer saris that Khushi shows her. Khushi, mistakenly, leaves the sa ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-dreams-of-taking-revenge/1000007612,16 Jun 2011,Anjali places an order for 200 saris to Khushi. But Manorama threatens to cancel the order. Manorama ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-and-her-job/1000007613,17 Jun 2011,Khushi without informing Madhumita meets Shyam and by coincidence Madhumita reaches the same market. ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/enter-lavanya-kashyap/1000007614,20 Jun 2011,Buaji refuses to let Khushi work for a living. Khushi informs her father about the job offer and man ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-in-a-new-world/1000007615,21 Jun 2011,Khushi feels completely out of place when she goes to meet Lavanya Kashyap at office. She is surpris ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/naniji-acts-suspiciously/1000007616,22 Jun 2011,Khushi is appointed as Lavanya’s new assistant. Her colleagues make fun of her for her Indian attire ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-creates-ruckus-in-office/1000007617,23 Jun 2011,Khushi creates ruckus in office when she lights God's lamp and it starts off the fire alarm and spri ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-meets-arnav-the-boss/1000007618,24 Jun 2011,Lavanya scolds Khushi for not taking her work seriously. Arnav and Khushi are stunned to see each ot ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-fires-khushi/1000007619,27 Jun 2011,Arnav is surprised to know that Khushi has got a job in his company. Khushi is stunned when Lavanya  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/payal-worries-about-khushis-safety/1000007620,28 Jun 2011,"Khushi signs Arnav’s contract, but she is unhappy about her job. Payal is worried about this, too.   ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-comes-home/1000007621,29 Jun 2011,Khushi gets the job of measuring male models. Arnav is sarcastic when she refuses to do it. She then ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-and-khushi-at-work/1000007622,30 Jun 2011,Manorama discusses with Anjali about Arnav’s wedding. Arnav sees the footage of Khushi setting off t ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-breezes-through-work/1000007623,1 Jul 2011,Khushi completes all the tasks assigned to her. Arnav and Lavanya are amazed. All of them are shocke ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-and-the-coat/1000007624,4 Jul 2011,Arnav overloads Khushi with work. It does not seem like she will make it to Payal’s birthday party.  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-is-the-new-model/1000007625,5 Jul 2011,Arnav asks Khushi to take part in a fashion shoot when the original model storms out. Khushi baulks  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-needs-a-break/1000007626,6 Jul 2011,Akash consoles Khushi. Arnav is heartless towards her. He orders Khushi to park a client’s car. Nani ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-confused-about-khushi/1000007627,7 Jul 2011,Arnav leaps to rescue Khushi from a speeding car. He is confused about his feelings for her. Akash d ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-works-at-home-too/1000007628,8 Jul 2011,Payal knows that the dupatta is Akash’s gift.  Arnav burdens Khushi with work he wants her to finish ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-is-trapped/1000007629,9 Jul 2011,Arnav is enraged as he gets to know that Khushi spoke about his relationship with Lavanya to Nani an ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-rescues-khushi/1000007630,11 Jul 2011,Arnav rushes to the guesthouse when he is told that Khushi has not reached home. He is horrified whe ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-drops-khushi-home/1000007631,12 Jul 2011,"Arnav feels bad as he knows he has hurt Khushi unknowingly. As Khushi faints, Arnav decides to drop  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-thinks-of-khushi/1000007632,13 Jul 2011,Payal is anxious when Khushi remains unconscious for long. Anjali is alarmed when she sees Arnav's i ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-considers-going-back/1000007633,14 Jul 2011,Anjali asks Arnav to be honest with himself. She asks him to stop bothering Khushi. Nani is keen on  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/a-thoughtful-akash/1000007634,15 Jul 2011,Buaji decides to intervene. He  promises to stop Khushi from working for Arnav. Manorama is intent o ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-plans-to-resign/1000007635,18 Jul 2011,Khushi decides to resign. A lot of people are happy about her decision. Payal is happy as she and Kh ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-resigns/1000007636,19 Jul 2011,"Khushi submits her resignation to Arnav. She accuses of him for ruining her life. Anjali, however, a ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-and-arnav-think-about-each-other/1000007637,20 Jul 2011,"Khushi and Arnav  think about each other. Khushi feels guilty about accusing him. He, too, is thinki ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-and-nani-argue/1000007638,21 Jul 2011,"Arnav has an argument with Nani and decides to leave the house. Even though Nani is upset, she does  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-keeps-anjali-waiting/1000007639,22 Jul 2011,Anjali teases Arnav when she catches him gazing at Khushi’s photograph. Shyam seems to be falling fo ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/everyone-meets-at-the-temple/1000007640,25 Jul 2011,"Payal, Khushi, Arnav, Anjali and Akash are all at the temple. Arnav and Khushi run into each other   ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-is-enchanted-by-khushi/1000007641,26 Jul 2011,Shyam is enthralled by the sight of Khushi in a sari. She tells him about meeting Anjali at the temp ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-in-arnavs-arms/1000007642,27 Jul 2011,"Khushi and Payal  realise that they have Anjali’s puja plate. Khushi rushes to return it. Lavanya, w ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-breaks-her-fast-with-arnav/1000007643,28 Jul 2011,"Arnav revives Khushi by giving her some water, thus breaking her fast. Anjali waits patiently for he ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-at-the-temple/1000007644,29 Jul 2011,"Khushi leaves the temple early. Shyam arrivest the temple and helps his wife, Anjali, break her fast ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-and-anjali-renew-vows/1000007645,1 Aug 2011,"Madhumati questions Khushi. She asks her when she broke the fast, before or after the Puja. Anjali i ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-and-payal-talk-about-akash/1000007646,2 Aug 2011,Khushi talks to Payal about Aakash. Shyam prepares sugar free jilebis for Arnav. Arnav asks Shyam to ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-in-the-raizada-house/1000007647,3 Aug 2011,Arnav and Nani argue about Lavanya.  Nani agrees that she can stay in the house. Khushi wants to ret ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-and-khushi-fight-again/1000007648,4 Aug 2011,Khushi ignores Arnav and goes into the storeroom to retrieve her figurine. An angry Arnav follows he ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushis-decision-shocks-arnav/1000007649,5 Aug 2011,"Shyam is relieved to know that Anjali did not hear his conversation. Meanwhile, Khushi shocks Arnav, ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-consoles-arnav/1000007650,8 Aug 2011,Khushi and Arnav keep thinking about each other. Anjali questions Arnav about his relationship with  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/nani-lays-down-rules-for-lavanya/1000007651,9 Aug 2011,"Khushi requests Shyam to help her look for a job. Meanwhile, Nani is unhappy to see Lavanya come hom ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/manorama-warns-lavanya/1000007652,10 Aug 2011,Anjali asks Nani to give Lavanya a chance to prove herself. Lavanya is shocked to know that Nani pla ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/nani-allots-task-to-lavanya/1000007653,11 Aug 2011,Khushi is in a dilemma about leaving Delhi. Lavanya is shocked when Nani asks her to prepare dinner. ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-and-anjali-meet-shyam/1000007654,12 Aug 2011,"Shyam is shocked to see Anjali and Arnav, but lies to them when Anjali questions him. Meanwhile, Lav ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-sets-up-a-sweet-shop/1000007655,15 Aug 2011,"Manorama and Lavanya are tired preparing dinner. On the other hand, Khushi, Payal and Madhumati set  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushis-business-in-trouble/1000007656,16 Aug 2011,"Payal and Buaji are worried about Khushi's failing business, but she asks them to have faith. Nani w ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushis-new-idea/1000007657,17 Aug 2011,Nani asks Lavanya to leave Arnav's room. Shyam is relieved to know that Khushi is still in Delhi. Th ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-gets-order-for-sweets/1000007658,18 Aug 2011,"Nani scolds Lavanya and asks her to leave. Payal and Khushi worry when they fail to get orders, but  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-is-stunned-to-learn-about-her-first-client/1000007659,19 Aug 2011,Arnav and Nani decide to keep their differences aside during Anjali and Shyam?s anniversary party. P ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-wants-to-see-anjalis-beau/1000007660,20 Aug 2011,"Arnav is shocked to find Khushi in his cupboard. However, Anjali tells him about Khushi getting the  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/manorama-spoils-the-sweets/1000007661,22 Aug 2011,Nani disapproves of Lavanya's dance performance and complains to Anjali. While a frustrated Lavanya  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-insults-nani/1000007662,23 Aug 2011,"Manorama tries to poison Nani and Anjali against Khushi, but they support her and ask her serve the  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/anjali-and-manorama-meet-khushi/1000007663,24 Aug 2011,Lavanya apologises for insulting Nani and for spoiling the party. The contractor refuses to pay Khus ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/anjali-asks-for-khushis-help/1000007664,25 Aug 2011,"Anjali asks Khushi to train Lavanya, but she declines the offer stating Arnav's presence as the reas ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-accepts-anjalis-offer/1000007665,26 Aug 2011,Shyam tries to convince Khushi against accepting Anjali's offer. Nani is upset with Lavanya and wish ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-starts-training-lavanya/1000007666,29 Aug 2011,Khushi convinces Nani about training Lavanya. Nani talks to Laxmi about her plan with Khushi. Meanwh ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-upsets-anjali/1000007667,30 Aug 2011,Arnav misbehaves with Anjali when he learns that she had asked Khushi to come. He insults Khushi and ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-and-khushi-look-for-anjali/1000007668,31 Aug 2011,"Anjali goes missing. Nani asks Arnav and Khushi to look for her when they come home. However, Arnav  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanyas-explanation/1000007669,1 Sep 2011,"Lavanya explains the idea of a live-in relationship to Khushi. Meanwhile, Arnav asks Lavanya to choo ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-to-avoid-arnav/1000007670,2 Sep 2011,Shyam pretends to be innocent in front of Anjali and her family. Khushi thinks about Arnav and Lavan ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushis-family-is-invited/1000007671,5 Sep 2011,Khushi narrates the story of Lord Krishna and everybody gets carried away by it. Arnav humiliates Kh ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-suspects-khushi/1000007672,6 Sep 2011,"Shyam tries to dissuade Madhumati from going to Raizada house but she is determined. Later, everybod ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-attends-the-pooja/1000007673,7 Sep 2011,Khushi decides to continue with her job despite being insulted. She asks Arnav to stay back for the  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-mistreats-khushi/1000007674,8 Sep 2011,"Akash drops Buaji and Payal home after the pooja, but Khushi stays back. Nani asks Arnav to drop Khu ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-tries-to-cheer-payal/1000007675,9 Sep 2011,"Payal is upset with Khushi and she tries to cheer her up by talking nonsense about Arnav. Later, Khu ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-bothers-arnav/1000007676,12 Sep 2011,Khushi bothers and embarrasses Arnav in front of his clients during the meeting. Arnav is clueless a ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-to-frame-khushi/1000007677,13 Sep 2011,Shyam steals Anjali's necklace in order to frame Khushi. Lavanya pampers Laxmi while Nani watches he ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-loses-lakshmi/1000007678,14 Sep 2011,"Manorama asks Lavanya to take Laxmi for a walk. However, Laxmi gets lost. Meanwhile, an angry Khushi ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-wins-over-lavanya/1000007679,15 Sep 2011,Khushi wins Lavanya's confidence by bringing Laxmi back and taking the blame of losing her. Shyam is ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyams-plot-fails/1000007680,16 Sep 2011,Nani finds Anjali's necklace on Laxmi's neck. Khushi explains the disadvantages of a live-in relatio ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-proposes-to-arnav/1000007681,19 Sep 2011,"Nani refuses to let Lavanya stay with them any longer, but the latter shocks everybody by proposing  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-avoids-confrontation/1000007682,20 Sep 2011,"Lavanya comes to office with Arnav's lunch, but he berates her for becoming like Khushi. Meanwhile,  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-insults-arnav/1000007683,21 Sep 2011,"Arnav blocks Khushi's way and shouts at her. She insults him back. Meanwhile, the fuse goes off whil ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shashi-doubts-shyam/1000007684,22 Sep 2011,"Shashi reveals his doubts about Shyam to Garima. Meanwhile, Anjali is upset when Shyam tells her he  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shashi-looks-for-anjalis-number/1000007685,23 Sep 2011,Arnav asks Khushi to leave the house. Anjali tries to console her while she misses her parents. Mean ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-regrets-his-behaviour/1000007686,26 Sep 2011,Anjali is angry with Shyam for being late for the pooja. Payal assures Khushi about her father. Mean ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-learns-to-apologise/1000007687,27 Sep 2011,Shahi's suspicion grows when he learns about Shyam's absence from court. Arnav goes to the party whe ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-helps-lavanya/1000007688,28 Sep 2011,"Arnav's family is surprised to see him calm. Meanwhile, Khushi is overwhelmed with Arnav's apology.  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-leaves-the-raizada-house/1000007689,29 Sep 2011,"Arnav scolds Lavanya and Khushi, and makes it clear that he does not want to get married. Lavanya le ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-tries-to-resolve-the-fight/1000007690,30 Sep 2011,Shyam avoids confrontation with Khushi. Lavanya tells Khushi about returning to London forever. Mean ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/lavanya-comes-to-raizada-house/1000007691,3 Oct 2011,"Lavanya comes back to Raizada house with Arnav. Anjali welcomes them, but Nani still disapproves of  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-saves-lavanya/1000007692,4 Oct 2011,"Nani is furious over shifting of the Tulsi plant, but Khushi puts the blame on Arnav to save Lavanya ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/the-temple-visit/1000007693,5 Oct 2011,"Shyam bribes the priest before Anjali and her parents arrive. Anjali spots him near the temple, but  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-gets-dizzy/1000007694,6 Oct 2011,Arnav is angry on seeing the kids. Anjali informs him that she has invited them for pooja. Arnav cal ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-apologises-to-arnav/1000007695,7 Oct 2011,Khushi tends to Arnav when she finds him. Payal invites Aakash to have tea with her parents. Meanwhi ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-finds-khushi/1000007696,9 Oct 2011,"Madhumati asks Shyam for his horoscope. While Arnav finds Khushi in the trunk of his car, Nani scold ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushi-has-a-fall/1000007697,10 Oct 2011,Shashi shows Shyam his driving licence and asks about the confusion over his date of birth. Khushi f ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/payal-rejects-akashs-calls/1000007698,11 Oct 2011,Arnav and Khushi stop at a dhaba. Shashi informs the family that Khushi has gone to Nainital with Ar ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shashi-exposes-shyam/1000007699,12 Oct 2011,"While Shashi exposes Shyam, Khushi convinces Arnav not to leave her. Arnav asks her to leave before  ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/arnav-hurts-khushi/1000007700,13 Oct 2011,"While Arnav regrets his behaviour towards Khushi, Shashi threatens to expose Shyam in front of his f ..."
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-attempts-murder/1000007701,14 Oct 2011,The doctor tells Shyam that Shashi's condition is critical. Payal informs Anjali about Shashi's cond ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shashi-is-paralyzed/1000007702,17 Oct 2011,Anjali tells Arnav about Shashi's health condition. Shyam torments Shashi as he knows that he can't  ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/shyam-wants-to-marry-khushi/1000007703,18 Oct 2011,An emotional Khushi sees Arnav and begins to cry. Shyam tricks Madhumati and Garima into believing t ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/khushis-reluctance/1000007704,19 Oct 2011,Khushi learns that Arnav has cleared Shashi's hospital bills. Akash apologises to Payal on behalf of ...
/in/tv/iss-pyar-ko-kya-naam-doon/s-29/akash-tells-anjali-about-payal/1000007705,20 Oct 2011,Payal consoles Khushi as she worries about her marriage with Shyam. Akash tells Anjali about his fee ...
